tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_b_beta	int_cdrat	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_dang	int_drat	int_drats	int_f	int_frac	int_fvds	int_g	int_gmax	int_k	int_k_max	int_k_min	int_k_prime	int_mad_coe	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU032A		MU032A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU033A		MU033A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU033A		MU033A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU034A		MU034A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU035A		MU035A01
														This Study											1.2e-05	1.26e-05	1.14e-05							2.6147654775535685	1.640869510962473							-0.098	0.003	-0.195		2.840280502479537	5.4451785419242045						853.0	473.0	Kelvin	IE-BICEP		MU036A		MU036A01
														This Study											1.16e-05	1.2e-05	1.13e-05							0.7434399941385575	1.877667349032371							-0.133	-0.055	-0.209		1.9253352973456923	2.127212721862116						853.0	273.0	Kelvin	IE-BICEP		MU036A		MU036A02
														This Study											1.08e-05	1.11e-05	1.05e-05							1.524936769077866	1.1613276413950702							0.087	0.15	0.022		2.382042884372532	2.252495527117071						863.0	273.0	Kelvin	IE-BICEP		MU036B		MU036B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW302A		HW302A03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW305A		HW305A03
														This Study											3.15e-05	3.26e-05	3.04e-05							0.7575972907177522	1.156730150224544							0.186	0.286	0.085		3.0322551430067	2.7378705108871983						823.0	273.0	Kelvin	IE-BICEP		HW306A		HW306A03
														This Study											3.12e-05	3.3e-05	2.96e-05							0.9868688444870006	4.3701800513631							0.242	0.403	0.1		4.75208662094745	4.534276183908974						823.0	273.0	Kelvin	IE-BICEP		HW306A		HW306A04
														This Study											3.24e-05	3.47e-05	3.05e-05							0.2519472177537826	5.588522391769232							0.227	0.411	0.06		2.923816228850358	2.876623616454389						813.0	373.0	Kelvin	IE-BICEP		HW306A		HW306A05
														This Study											4.03e-05	4.31e-05	3.78e-05							0.3798183122553029	1.936058890700164							0.226	0.449	0.0		0.7979708561491625	0.7724442520762964						853.0	473.0	Kelvin	IE-BICEP		MU004B		MU004B02
														This Study											3.8700000000000006e-05	4.06e-05	3.69e-05							0.2892807397202211	1.507209851683503							0.223	0.39	0.05		0.5266228057003955	0.6005136992256387						853.0	473.0	Kelvin	IE-BICEP		MU004B		MU004B03
														This Study											4.61e-05	5.17e-05	4.17e-05							1.5408608883950303	0.9458267636988452							-0.482	-0.296	-0.668		2.238131585877404	2.2211945273285907						853.0	273.0	Kelvin	IE-BICEP		MU004C		MU004C02
														This Study											5.14e-05	6.12e-05	4.42e-05							0.8406341433694573	1.196523177972842							-0.578	-0.305	-0.861		2.233444173819657	1.9646881138856296						853.0	373.0	Kelvin	IE-BICEP		MU004C		MU004C03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU006A		MU006A03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU006A		MU006A04
														This Study											3.3700000000000006e-05	3.52e-05	3.23e-05							0.2982020605913869	1.6278438530208452							0.385	0.525	0.246		1.7591635789653823	1.67145133543663						853.0	273.0	Kelvin	IE-BICEP		MU009A		MU009A03
														This Study											3.5e-05	3.65e-05	3.3600000000000004e-05							3.3139566868832824	0.8268699184703616							0.274	0.404	0.145		4.222850644162308	4.17330637930607						843.0	273.0	Kelvin	IE-BICEP		MU009A		MU009A04
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011A		MU011A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011A		MU011A03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011A		MU011A04
														This Study											3.35e-05	3.4200000000000005e-05	3.27e-05							1.4639339184024374	1.403312200958557							0.036	0.109	-0.039		1.862613856982389	2.934465965747566						853.0	473.0	Kelvin	IE-BICEP		MU012A		MU012A03
														This Study											3.39e-05	3.49e-05	3.29e-05							1.9243732982820223	1.4828817017175664							-0.013	0.08	-0.107		3.1116611759626007	3.0425416087349832						853.0	273.0	Kelvin	IE-BICEP		MU012A		MU012A04
														This Study											1.42e-05	1.54e-05	1.27e-05							3.126288895430368	2.952501283212402							-0.533	-0.37	-0.705		1.8929767376274196	1.973115829598885						853.0	273.0	Kelvin	IE-BICEP		MU013C		MU013C03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU017A		MU017A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU020A		MU020A02
														This Study											2.73e-05	4.48e-05	1.27e-05							6.211410841148384	1.0586714781396147							-0.915	1.612	-1.696		0.0	5.866556618351076						623.0	373.0	Kelvin	IE-BICEP		MU023A		MU023A03
														This Study											3.1100000000000004e-05	3.28e-05	2.96e-05							0.674594951861161	3.503732120708007							0.374	0.534	0.178		1.0891791754690414	2.065450509050305						773.0	273.0	Kelvin	IE-BICEP		MU023A		MU023A04
